title,Marca,Preco_Normal,Preco_Desconto,Preco_Anterior,Desconto,Categoria
"Pack 12 un, Leche extra proteína 1 L",Loncoleche,19788,0,0,0,lacteos
"Pack 12 un, Leche chocolate receta original 1 L",Soprole,18228,0,0,0,lacteos
"Pack 12 un, Leche semidescremada chocolate 1 L",Soprole,18228,0,0,0,lacteos
"Pack 12 un, Leche semidescremada frutilla 1 L",Soprole,18228,0,0,0,lacteos
"Pack 12 un, Leche sin lactosa chocolate 1 L",Loncoleche,17988,0,0,0,lacteos
"Pack 12 un, Leche sin lactosa frutilla 1 L",Loncoleche,17988,0,0,0,lacteos
"Pack 12 un, Leche saborizada light chocolate 1 L",Loncoleche,17988,0,0,0,lacteos
"Pack 12 un, Leche saborizada frutilla 1 L",Colun,17388,0,0,0,lacteos
"Pack 12 un, Leche saborizada vainilla 1 L",Colun,17388,0,0,0,lacteos
"Pack 12 un, Leche saborizada manjar 1 L",Colun,17388,0,0,0,lacteos
"Pack 12 un, Leche saborizada plátano 1 L",Loncoleche,17388,0,0,0,lacteos
"Pack 12 un, Leche saborizada chocolate 1 L",Loncoleche,17388,0,0,0,lacteos
"Pack 12 un, Leche chocolate 1 L",Colun,17268,0,0,0,lacteos
"Pack 12 un, Leche chocolate sin tapa 1 L",Colun,17268,0,0,0,lacteos
"Pañal Plenitud Protect G 22 un,",Plenitud,16799,0,0,0,belleza-y-cuidado-personal
"Pack 12 un, Leche sin lactosa extra calcio 1 L",Loncoleche,16788,0,0,0,lacteos
Leche en Polvo Nido Etapa 5+ Tarro 1600g,Nido,16190,0,0,0,lacteos
"Pack 12 un, Leche descremada sin lactosa 1 L",Colun,14268,0,0,0,lacteos
"Pack 12 un, Leche entera sin lactosa 1 L",Colun,14268,0,0,0,lacteos
"Pack 12 un, Leche semidescremada sin lactosa 1 L",Colun,14268,0,0,0,lacteos
"Pack 12 un, Leche semidescremada sin lactosa 1 L",Loncoleche,13908,0,0,0,lacteos
"Pack 12 un, Leche natural sin lactosa 1 L",Loncoleche,13908,0,0,0,lacteos
Leche en Polvo Nido Entera 1500g,Nido,12149,0,0,0,lacteos
"Pack 12 un, Leche semidescremada sin tapa 1 L",Colun,11988,0,0,0,lacteos
"Pack 12 un, Leche descremada sin tapa 1 L",Colun,11988,0,0,0,lacteos
"Pañales para adultos Tena Pants G 16 unid,",Tena,11950,0,0,0,belleza-y-cuidado-personal
"Pañales para adultos Tena Pants M 16 unid,",Tena,11950,0,0,0,belleza-y-cuidado-personal
